role	i	j	affiliation
p	DUVOUX NICOLAS	2019_ST70	UNIVERSITE PARIS 8, CRESPPA LABTOP
p	DWYRE DIANE	2013_ST41	CALIFORNIA STATE U. CHICO (USA)
NA	EAGLETON-PIERCE MATTHEW	2019_ST79	NA
p	EBERHARD MIREILLE	2013_ST11	URMIS, U. PARIS 5
p	EBERWEIN WOLF	2009_ST32	PACTE, IEP GRENOBLE
NA	ECORMIER-NOCCA FLORENCE	2019_STGACOMPETITIONPOLITIQUE	NA
p	EDEL FREDERIC	2011_ST22	ENA
p	EDELBLOUDE JOHANNA	2013_ST10	ESC PAU
p	EDELBLOUDE JOHANNA	2019_ST78	UNIVERSITE DE PARIS OUEST NANTERRE
o	EGGER CLARA	2013_ST49	PACTE, IEP GRENOBLE
NA	EHRARI ABDOUL FATTAH	2019_ST23	NA
p	EHRHARD THOMAS	2011_ST36	CECP, U. PARIS 2
o	EHRHARD THOMAS	2015_ST6	CECP, U. PARIS 2
p	EHRHARD THOMAS	2017_ST42	CECP, U. PARIS 2
o	EHRHARD THOMAS	2017_ST43	CECP, U. PARIS 2
p	EHRHARD THOMAS	2019_ST22	UNIVERSITE PARIS II PANTHEON ASSAS
p	EHRHARD THOMAS	2019_ST35	UNIVERSITE PARIS II PANTHEON ASSAS
NA	EICHENBERGER STEVEN	2019_ST88	NA
p	EKMAN ALICE	2013_ST48	IFRI PARIS
p	EL CHAZLI YOUSSEF	2013_ST53	CRAPUL-IEPI-IEPHI, U. LAUSANNE (SUISSE)
o	EL CHAZLI YOUSSEF	2015_ST61	CRAPUL-IEPI-IEPHI, U. LAUSANNE (SUISSE) / U. PARIS 1
NA	EL HADDAD AHMED	2019_ST35	NA
o	EL MASLOUHI ABDERRAHIM	2009_ST49	U. MOHAMMED V RABAT (MAROC)
p	EL QADIM NORA	2013_ST49	CEE, SCIENCES PO PARIS
p	ELBEZE MARC	2015_ST7	LIA, U. AVIGNON
p	ELETA-DE FILIPPIS ROXANA	2009_ST23	U. LE HAVRE
p	ELOIRE FABIEN	2013_ST34	CLERSE, U. LILLE 1
a	ELOIRE FABIEN	2017_ST35	CLERSE, U. LILLE 1
p	ELOIRE FABIEN	2017_ST55	CLERSE, U. LILLE 1
o	ELOKA ALAIN	2019_ST47	LAGAPE, U. LAUSANNE (SUISSE)
p	EMERI CLAUDE	2009_ST48	IEP BORDEAUX
p	EMPERADOR BADIMON MONTSERRAT	2019_ST86	UNIVERSITE LUMIERE LYON 2 / TRIANGLE
p	EMPERADOR MONTSERRAT	2011_ST48	IEP AIX EN PROVENCE / U. LYON 2
o	EMPERADOR MONTSERRAT	2015_ST49	TRIANGLE, ENS-IEP LYON & U. LYON 2
o	ENGELI ISABELLE	2009_ST15	EUROPEAN U. INSTITUTE FLORENCE (ITALIE)
p	ENGELI ISABELLE	2009_ST16	EUROPEAN U. INSTITUTE FLORENCE (ITALIE)
o	ENGELI ISABELLE	2013_ST23	U. OTTAWA (CANADA)
p	ENGELS JENS IVO	2015_STRC20IPSA	U. DARMSTADT (ALLEMAGNE)
p	ENGELS XAVIER	2015_ST39	IDHE-IDHES, U. PARIS 10
p	ENNAJI MOHAMMED	2009_ST49	U. MOHAMMED V RABAT (MAROC)
p	ENOS-ATTALI SOPHIE	2009_ST20	CERI, SCIENCES PO PARIS
p	ENOS-ATTALI SOPHIE	2009_ST21	CERI, SCIENCES PO PARIS
d	ENRIQUEZ EUGENE	2009_ST51	SOCIOLOGIE, U. PARIS 7
p	EPP DEREK	2013_ST23	U. NORTH CAROLINA CHAPEL HILL (USA)
p	EPSTEIN RENAUD	2009_ST121	ISSP, ENS CACHAN & U. PARIS 10
d	EPSTEIN RENAUD	2009_ST122	ISSP, ENS CACHAN & U. PARIS 10
o	EPSTEIN RENAUD	2011_ST14	U. NANTES
p	EPSTEIN RENAUD	2013_ST19	DCS, U. NANTES
o	EPSTEIN RENAUD	2017_ST9	CESDIP, IEP SAINT GERMAIN EN LAYE
p	ERALY ALAIN	2017_ST40	CEPAP, U. LIBRE BRUXELLES (BELGIQUE)
p	ERBANI MEGANE	2019_ST09	UNIVERSITE PARIS NANTERRE / ISP
p	ERDINC ISIL	2015_ST14	CESSP-CRPS, U. PARIS 1
p	ERDINC ISIL	2015_ST49	CESSP-CRPS, U. PARIS 1
o	ERDINC ISIL	2019_ST48	IRISSO, U. PARIS 9
p	ERDINC ISIL	2019_ST64	IRISSO, U. PARIS 9
p	ERGEN TIMUR	2015_ST40	MPIFG COLOGNE (ALLEMAGNE)
p	ERMOSHINA KSENIA	2019_ST59	ISCC PARIS
p	ERROTABEHERE MARC	2015_ST41	CREG, U. PAU PAYS ADOUR / [ETICOOP]
NA	ESCAFRE-DUBLET ANGELINE	2019_STGAINEGALITESETDISCRIMINATIONS	NA
p	ESCALONA FABIEN	2013_ST26	PACTE, IEP GRENOBLE
p	ESCALONA FABIEN	2015_ST15	PACTE, IEP GRENOBLE
o	ESCALONA FABIEN	2017_ST55	PACTE, IEP GRENOBLE / CEVIPOL, U. LIBRE BRUXELLES (BELGIQUE)
p	ESCALONA FABIEN	2019_ST73	UNIVERSITE DE GRENOBLE / CEVIPOL ULB
p	ESCRIVA ANGELES	2015_ST5	U. HUELVA (ESPAGNE)
p	ESCUDE CAMILLE	2019_ST45	SCIENCES PO PARIS, CERI
p	ESQUENAZI JEAN-PIERRE	2017_ST56	U. LYON 3
p	ESTEVE ADRIEN	2019_ST34	SCIENCES PO PARIS CERI
p	ESTEVE ADRIEN	2019_ST61	CERI, SCIENCES PO PARIS
d	ETHUIN NATHALIE	2011_ST31	CERAPS, U. LILLE 2
p	ETHUIN NATHALIE	2013_ST24	CERAPS, U. LILLE 2
p	ETHUIN NATHALIE	2015_ST23	CERAPS, U. LILLE 2
p	EVEDOVE LEONARDO	2015_ST58	U. FEDERAL RORAIMA, BOA VISTA (BRESIL)
p	EVRARD AURELIEN	2009_ST14	CEVIPOF, SCIENCES PO PARIS / [ADEME]
p	EVRARD AURELIEN	2009_ST41	CEVIPOF, SCIENCES PO PARIS / [ADEME]
p	EVRARD AURELIEN	2011_ST29	CEE, SCIENCES PO PARIS
o	EVRARD AURELIEN	2015_ST35	ICEE, U. PARIS 3
p	EVRARD AURELIEN	2017_ST17	U. PARIS 3 / CEE, SCIENCES PO PARIS
NA	EYMERI JEAN-MICHEL	2019_ST88	NA
o	EYMERI-DOUZANS JEAN-MICHEL	2009_ST3	LASSP, IEP TOULOUSE
o	EYMERI-DOUZANS JEAN-MICHEL	2011_ST25	LASSP, IEP TOULOUSE
p	EYMERI-DOUZANS JEAN-MICHEL	2011_ST42	LASSP, IEP TOULOUSE
o	EYMERI-DOUZANS JEAN-MICHEL	2013_ST2	LASSP, IEP TOULOUSE
d	EYMERI-DOUZANS JEAN-MICHEL	2013_ST4	LASSP, IEP TOULOUSE
o	EYMERI-DOUZANS JEAN-MICHEL	2015_ST28	LASSP, IEP TOULOUSE
o	EYMERI-DOUZANS JEAN-MICHEL	2017_ST40	LASSP, IEP TOULOUSE
p	FABIANI JEAN-LOUIS	2017_ST74	CESPRA, EHESS PARIS / CENTRAL EUROPEAN U. BUDAPEST (HONGRIE)
d	FAGET JACQUES	2019_ST15	SPIRIT-CED, IEP-U. BORDEAUX
p	FALKENHAGEN FREDERIC	2013_ST6	U. OLDENBURG (ALLEMAGNE)
p	FALLON CATHERINE	2009_ST15	U. LIEGE (BELGIQUE)
p	FALLON CATHERINE	2009_ST24	U. LIEGE (BELGIQUE)
p	FALLON CATHERINE	2019_ST36	SPIRAL, DEPARTEMENT DE SCIENCES POLITIQUES, FACULTE DE DROIT, UNIVERSITE DE LIEGE
p	FALQUET JULES	2019_ST86	UNIVERSITE PARIS DIDEROT / LCSP CEDREF
d	FANIEL JEAN	2013_ST27	CRISP (BELGIQUE)
p	FANKEM ROBERT	2017_ST63	U. YAOUNDE 2 (CAMEROUN)
d	FARGUES EMILIEN	2017_ST31	CEVIPOF, SCIENCES PO PARIS
p	FARHA MARK	2013_ST41	SCHOOL FOREIGN SERVICE DOHA, GEORGETOWN U. (QATAR)
p	FARVAQUE ETIENNE	2009_ST4	EQUIPPE, U. LILLE 1
o	FASSIN ERIC	2009_ST34	IRIS, ENS PARIS / EHESS PARIS
d	FASSIN ERIC	2009_ST35	IRIS, ENS PARIS / EHESS PARIS
p	FASSIN ERIC	2009_ST6	IRIS, ENS PARIS / EHESS PARIS
p	FASSIN ERIC	2013_ST33	U. PARIS 8 / IRIS, EHESS PARIS & INSERM & U. PARIS 13
d	FAUCHER FLORENCE	2015_ST21	CEE, SCIENCES PO PARIS
c	FAUCHER FLORENCE	2017_ST54	CEE, SCIENCES PO PARIS
p	FAUCHER FLORENCE	2019_ST13	SCIENCES PO, CEE
p	FAUCONNET TATIANA	2019_ST54	ENS LYON, TRIANGLE
p	FAUCONNIER CLEMENTINE	2011_ST41	CERI, SCIENCES PO PARIS
p	FAUCONNIER CLEMENTINE	2015_ST21	CERI, SCIENCES PO PARIS
p	FAUCONNIER CLEMENTINE	2019_ST67	CESSP, EHESS
o	FAUQUETTE ALEXANDRE	2019_ST49	CERAPS CENTRE DE RECHERCHES POLITIQUES, ADMINISTRATIVES ET SOCIALES, UNIVERSITE DE LILLE, MAISON EUROPEENNE DES SCIENCES DE LHOMME ET DE LA SOCIETE LILLE NORD DE FRANCE
o	FAURE ALAIN	2009_ST122	PACTE, IEP GRENOBLE
p	FAURE ALAIN	2011_ST49	PACTE, IEP GRENOBLE
p	FAURE ALAIN	2015_ST34	PACTE, IEP GRENOBLE
o	FAURE ALAIN	2015_ST8	PACTE, IEP GRENOBLE
p	FAURE ALAIN	2019_ST34	CNRS / SCIENCES PO GRENOBLE PACTE
p	FAURE ALEXANDRE	2015_ST33	CRH, EHESS PARIS
p	FAURE ALEXANDRE	2017_ST23	CRH, EHESS PARIS
p	FAURE ANTOINE	2011_ST1	PACTE, IEP GRENOBLE
p	FAURE ANTOINE	2011_ST7	PACTE, IEP GRENOBLE
p	FAURE ANTOINE	2013_ST58	PACTE, IEP GRENOBLE
p	FAURE ANTOINE	2015_ST47	PACTE, IEP GRENOBLE
o	FAURE ANTOINE	2017_ST56	CIDOC, U. FINIS TERRAE (CHILI)
p	FAURE ANTOINE	2019_ST72	UNIVERSITE FINIS TERRAE, SANTIAGO DU CHILI, CIDOC
p	FAURE LUCAS	2019_ST29	CHERPA, IEP AIX EN PROVENCE
p	FAURE SAMUEL	2015_ST15	CERI, SCIENCES PO PARIS
p	FAURE SAMUEL	2015_ST57	CERI, SCIENCES PO PARIS
NA	FAURE SAMUEL BH	2019_STGRUE	NA
p	FAUVE ADRIEN	2011_ST50	CERI, SCIENCES PO PARIS
p	FAUVE ADRIEN	2017_ST69	CERI, SCIENCES PO PARIS
p	FAUVELLE-AYMAR CHRISTINE	2009_ST13	U. TOURS
p	FAUVELLE-AYMAR CHRISTINE	2009_ST4	U. TOURS
p	FAUVELLE-AYMAR CHRISTINE	2009_ST5	U. TOURS
p	FAUVELLE-AYMAR CHRISTINE	2015_ST1	U. TOURS
o	FAVAREL-GARRIGUES GILLES	2015_ST53	CERI, SCIENCES PO PARIS
p	FAVAREL-GARRIGUES GILLES	2017_ST26	CERI, SCIENCES PO PARIS
p	FAVAREL-GARRIGUES GILLES	2017_ST64	CERI, SCIENCES PO PARIS
NA	FAVAREL-GARRIGUES GILLES	2019_ST32	NA
o	FAYAT HERVE	2013_ST39	GAP, U. PARIS 10
p	FAZI ANDRE	2015_ST22	LISA, U. CORSE
p	FEDEREAU ALEXANDER	2017_ST76	IGD-FGSE, U. LAUSANNE (SUISSE)
p	FEE RUTH	2015_STRC20IPSA	U. ULSTER (ROYAUME-UNI)
p	FELICETTI ANDREA	2015_ST24	U. CATHOLIQUE LOUVAIN (BELGIQUE)
p	FELICETTI ANDREA	2015_STGREPO	U. CATHOLIQUE LOUVAIN (BELGIQUE)
o	FELLI ROMAIN	2009_ST40	CRAPUL-IEPI-IEPHI, U. LAUSANNE (SUISSE)
p	FEREY AMELIE	2017_ST56	CERI, SCIENCES PO PARIS
p	FERHAT ISMAIL	2009_ST29	CHSP, SCIENCES PO PARIS
p	FERHAT ISMAIL	2011_ST29	CHSP, SCIENCES PO PARIS
p	FERHAT ISMAIL	2013_ST30	CHSP, SCIENCES PO PARIS
p	FERHAT ISMAIL	2015_ST13	ESPE AMIENS CAREF
p	FERNANDEZ JULIAN	2013_ST47	CESSP-CRPS, U. PARIS 1
o	FERNANDEZ PASARIN ANA MAR	2009_ST19	U. AUTONOMA BARCELONA (ESPAGNE) / CEE, SCIENCES PO PARIS
p	FERNE MYRTILLE	2019_ST28	LC2S UNIVERSITE DES ANTILLES
p	FERRALI ROMAIN	2015_STRC20IPSA	PRINCETON U. (USA)
p	FERRAN NICOLAS	2013_ST10	CEPEL, U. MONTPELLIER 1
p	FERRAN NICOLAS	2015_ST4	CEPEL, U. MONTPELLIER 1
p	FERRAND ALEXIS	2015_ST2	CLERSE, U. LILLE 1
p	FERRAND-NAGEL SABINE	2015_ST39	RITM, U. PARIS 11
p	FERRANDO STEFANIA	2017_ST27	IEP STRASBOURG
p	FERRANDO STEFANIA	2019_ST54	EHESS, LIER
p	FERRANT COLINE	2019_ST49	OSC SCIENCES PO / CNRS, NORTHWESTERN UNIVERSITY, DEPARTMENT OF SOCIOLOGY
p	FERRE NATHALIE	2017_ST65	CHERPA, IEP AIX EN PROVENCE / ECOLE GOUVERNANCE ECONOMIE RABAT (MAROC)
p	FERREIRA ANTUNES SANDRINA	2009_ST39	U. LIBRE BRUXELLES (BELGIQUE) / U. MINHO (PORTUGAL)
o	FERRIE JEAN-NOEL	2015_ST37	U. INTERNATIONALE RABAT (MAROC)
p	FERRIEUX CECILE	2013_ST17	TRIANGLE, ENS-IEP LYON & U. LYON 2
o	FERRON BENJAMIN	2017_ST49	CEDITEC, U. PARIS 12
p	FERRY JEAN-MARC	2015_ST29	CHAIRE PHILOSOPHIE EUROPE, U. NANTES
p	FERRY MAYLIS	2019_ST34	SPIRIT-CED, IEP-U. BORDEAUX
p	FERTIKH KARIM	2009_ST7	GSPE-PRISME-SAGE, IEP-U. STRASBOURG / CMH-ETT, EHESS PARIS & ENS PARIS
o	FERTIKH KARIM	2011_ST32	GSPE-PRISME-SAGE, IEP-U. STRASBOURG / CMH-ETT, EHESS PARIS & ENS PARIS
p	FERTIKH KARIM	2015_ST23	CGS, EHESS PARIS
p	FERTIKH KARIM	2017_ST3	GSPE-PRISME-SAGE, IEP-U. STRASBOURG / CGS, EHESS PARIS
p	FERTIKH KARIM	2019_ST39	UNIVERSITE DE STRASBOURG
p	FIGEAC JULIEN	2019_ST22	UNIVERSITE DE TOULOUSE 2 UMR LISST, CNRS
d	FILLIEULE OLIVIER	2009_ST16	U. LAUSANNE (SUISSE) / U. PARIS 1
o	FILLIEULE OLIVIER	2009_ST8	U. LAUSANNE (SUISSE) / U. PARIS 1
d	FILLIEULE OLIVIER	2013_ST11	CRAPUL-IEPI-IEPHI, U. LAUSANNE (SUISSE)
d	FILLIEULE OLIVIER	2013_ST53	CRAPUL-IEPI-IEPHI, U. LAUSANNE (SUISSE)
o	FILLIEULE OLIVIER	2015_ST11	CRAPUL-IEPI-IEPHI, U. LAUSANNE (SUISSE) / CESSP-CRPS, U. PARIS 1
p	FILLION EMMANUELLE	2017_ST64	CRAPE-ARENES, EHESP-IEP-U. RENNES 1 & 2
p	FILLOD-CHABAUD AURELIE	2011_ST52	EUROPEAN U. INSTITUTE FLORENCE (ITALIE)
p	FILLOD-CHABAUD AURELIE	2015_ST16	IREDU, U. BOURGOGNE FRANCHE COMTE
p	FILLOD-CHABAUD AURELIE	2017_ST28	IREDU, U. BOURGOGNE FRANCHE COMTE
o	FILLOD-CHABAUD AURELIE	2017_ST29	IREDU, U. BOURGOGNE FRANCHE COMTE
p	FINEZ JEAN	2019_ST54	UNIVERSITE GRENOBLE ALPES, PACTE
p	FINTZ MATTHIEU	2011_ST23	[ANSES] / IRIST, U. STRASBOURG
p	FISCHER NICOLAS	2011_ST9	EHESS, IRIS
p	FISCHER NICOLAS	2015_ST12	CESDIP, U. VERSAILLES SAINT QUENTIN
p	FISCHER NICOLAS	2015_ST8	CESDIP, U. VERSAILLES SAINT QUENTIN
o	FISCHER NICOLAS	2017_ST13	CESDIP, U. VERSAILLES SAINT QUENTIN
p	FISCHER NICOLAS	2017_ST22	CESDIP, U. VERSAILLES SAINT QUENTIN
o	FISCHER NICOLAS	2019_ST50	CESDIP, U. VERSAILLES SAINT QUENTIN
p	FISHKIN JAMES	2015_ST24	STANFORD U. (USA)
p	FISHKIN JAMES	2015_STPOPACT	STANFORD U. (USA)
p	FISKE REBECCA	2013_ST41	BARD COLLEGE SIMONS ROCK (USA)
p	FISKE REBECCA	2015_STRC20IPSA	BARD COLLEGE SIMONS ROCK (USA)
p	FISKE-RUSCIANO ROBERTA	2013_ST41	RIDER U. (USA)
p	FISKE-RUSCIANO ROBERTA	2015_STRC20IPSA	RIDER U. (USA)
p	FISSON ESTELLE	2019_ST86	UNIVERSITE LUMIERE LYON 2 / TRIANGLE
p	FLACCO FERNANDA	2015_ST45	CEVIPOL, U. LIBRE BRUXELLES (BELGIQUE)
o	FLAMANT ANOUK	2011_ST26	TRIANGLE, ENS-IEP LYON & U. LYON 2
p	FLAMANT ANOUK	2015_ST22	TRIANGLE, ENS-IEP LYON & U. LYON 2
p	FLAMANT ANOUK	2019_ST85	EA GRHAPS, INSHEA
p	FLEURY LAURE	2015_ST13	CRAPUL-IEPI-IEPHI, U. LAUSANNE (SUISSE) / ENS LYON
p	FLIPO FABRICE	2019_ST26	INSTITUT MINES TELECOM, CSP
p	FLORES CHARLIE-CAMILLE	2019_ST66	FLORES UNIVERSITE DE STRASBOURG
p	FLORIDIA ANTONIO	2015_ST24	[DIPARTIMENTO POLITICHE PER LA PARTECIPAZIONE REGIONE TOSCANA (ITALIE)]
p	FLUSIN-FLEURY DEBORAH	2011_ST27	CERLIS, U. REIMS CHAMPAGNE ARDENNE
p	FLYNN MOLLY	2015_STRC20IPSA	ASSUMPTION COLLEGE (USA)
p	FOL SYLVIE	2017_ST9	GEOGRAPHIE CITES, U. PARIS 1
p	FONCK DAAN	2019_ST76	UNIVERSITY OF LEUVEN
p	FONDU QUENTIN	2019_ST36	CESSP EHESS/UNIVERSITAT BIELEFELD
p	FONTAINE GUILLAUME	2009_ST25	FLACSO (EQUATEUR)
p	FONTAINE JULIETTE	2013_ST30	CESSP-CRPS, U. PARIS 1
p	FONTAINE JULIETTE	2015_ST32	CESSP-CRPS, U. PARIS 1
p	FONTAINE JULIETTE	2015_ST8	CESSP-CRPS, U. PARIS 1
p	FONTAINE JULIETTE	2019_ST32	UNIVERSITE PARIS 1, CESSP CRPS
p	FONTAINE JULIETTE	2019_ST48	CESSP CRPS, UNIVERSITE PARIS 1
p	FONTAN CLEMENT	2011_ST46	PACTE, IEP GRENOBLE
p	FONTAN CLEMENT	2013_ST16	CERAPS, U. LILLE 2
p	FONTAN CLEMENT	2015_ST15	CENTRE RECHERCHE ETHIQUE, U. MONTREAL (CANADA)
p	FONTAN CLEMENT	2017_ST5	PACTE, IEP GRENOBLE
d	FONTAN CLEMENT	2019_ST56	U. CATHOLIQUE LOUVAIN (BELGIQUE) / U. SAINT LOUIS BRUXELLES (BELGIQUE)
o	FONTAN CLEMENT	2019_STGAREGULATIONSMARCHESCAPITALISMES	U. CATHOLIQUE LOUVAIN (BELGIQUE) / U. SAINT LOUIS BRUXELLES (BELGIQUE)
p	FONTANA MARIE-CHRISTINE	2009_ST20	U. LAUSANNE (SUISSE)
o	FOREST MAXIME	2011_ST22	U. COMPLUTENSE MADRID (ESPAGNE)
o	FOREST MAXIME	2013_ST65	OFCE, SCIENCES PO PARIS / PRESAGE
p	FOREST MAXIME	2015_ST42	SCIENCES PO PARIS
o	FORET FRANCOIS	2009_ST1	U. LIBRE BRUXELLES (BELGIQUE)
p	FORET FRANCOIS	2011_ST44	U. LIBRE BRUXELLES (BELGIQUE)
c	FORET FRANCOIS	2011_ST46	U. LIBRE BRUXELLES (BELGIQUE)
p	FORTANE NICOLAS	2009_ST10	U. LYON 2
o	FORTANE NICOLAS	2013_ST17	RITME, INRA INVRY
p	FORTIER AGNES	2015_ST18	SAE2, SAD APT, INRA IVRY SUR SEINE
p	FOUBERT CAMILLE	2019_ST25	IRIS EHESS
d	FOUCAULT MARTIAL	2009_ST21	U. MONTREAL (CANADA)
p	FOUCAULT MARTIAL	2009_ST4	U. MONTREAL (CANADA)
o	FOUCAULT MARTIAL	2013_ST26	U. MONTREAL (CANADA) / SCIENCES PO PARIS
d	FOUCHER VINCENT	2019_ST15	CNRS LES AFRIQUES DANS LE MONDE, SCIENCES PO BORDEAUX
p	FOUGERE MARIANNE	2013_ST63	CEVIPOF, SCIENCES PO PARIS
a	FOUILLEUX EVE	2009_ST28	CEPEL, U. MONTPELLIER 1 / CIRAD
p	FOUILLEUX EVE	2009_ST41	CEPEL, U. MONTPELLIER 1 / CIRAD
p	FOUILLEUX EVE	2011_ST17	CEPEL, U. MONTPELLIER 1
d	FOUILLEUX EVE	2015_ST33	CEPEL, U. MONTPELLIER 1 / MOISA, CIRAD MONTPELLIER
o	FOUILLEUX EVE	2017_ST14	CEPEL, U. MONTPELLIER 1 / MOISA, CIRAD MONTPELLIER
p	FOUILLEUX EVE	2017_ST16	CEPEL, U. MONTPELLIER 1 / MOISA, CIRAD MONTPELLIER
p	FOULOT MATHIEU	2017_ST52	[PROGRAMME EDUCATION CRITIQUE MEDIAS RECTORAT VERSAILLES]
p	FOUQUET THOMAS	2015_ST48	IMAF
p	FOURCHARD LAURENT	2009_ST9	CEAN-LAM, IEP BORDEAUX
p	FOURCHARD LAURENT	2015_ST53	CEAN-LAM, IEP BORDEAUX
p	FOURES FRANCK	2011_ST23	RITME, INRA INVRY / CSO, SCIENCES PO PARIS
NA	FOURMENTRAUX JEAN-PAUL	2019_ST59	NA
p	FOURN LEO	2017_ST62	LAMES, U. AIX MARSEILLE 2
d	FOURNIER BERNARD	2019_ST55	HAUTE ECOLE DE LA PROVINCE DE LIEGE
p	FOURNIER LYDIE	2009_ST36	GSPE-PRISME-SAGE, IEP-U. STRASBOURG
p	FOURNIER PIERRE	2011_ST12	LMS, U. AIX MARSEILLE
p	FOURNIS YANN	2017_ST16	GRIDEQ, U. QUEBEC RIMOUSKI (CANADA)
d	FOURNIS YANN	2017_ST17	GRIDEQ, U. QUEBEC RIMOUSKI (CANADA)
p	FOURNIS YANN	2017_ST5	GRIDEQ, U. QUEBEC RIMOUSKI (CANADA)
p	FOUROT AUDE-CLAIRE	2009_ST121	CEE, SCIENCES PO PARIS
p	FOUROT AUDE-CLAIRE	2011_ST19	SIMON FRASER U. (CANADA)
d	FOUROT AUDE-CLAIRE	2013_ST14	SIMON FRASER U. (CANADA)
NA	FOUROT AUDE-CLAIRE	2019_ST77	NA
NA	FOUROT AUDE-CLAIRE	2019_ST85	NA
p	FOYER JEAN	2015_ST56	ISCC PARIS
p	FRADOIS GAUTHIER	2015_ST16	ISSP, ENS CACHAN & U. PARIS 10
p	FRADOIS GAUTHIER	2017_ST26	ISSP, ENS CACHAN & U. PARIS 10
p	FRADOIS GAUTHIER	2017_ST53	ISSP, ENS CACHAN & U. PARIS 10
o	FRAGNON JULIEN	2009_ST31	TRIANGLE, ENS-IEP LYON & U. LYON 2
p	FRAGNON JULIEN	2015_ST20	TRIANGLE, ENS-IEP LYON & U. LYON 2
p	FRAGNON JULIEN	2017_ST54	TRIANGLE, ENS-IEP LYON & U. LYON 2
p	FRAGNON JULIEN	2019_ST42	UNIVERSITE DE LYON SCIENCES PO LYON, IRSEM, TRIANGLE UMR 5206
p	FRAGNON JULIEN	2019_ST78	SCIENCES PO LYON, TRIANGLE
o	FRANCE PIERRE	2017_ST52	CESSP-CRPS, U. PARIS 1
p	FRANCE PIERRE	2017_ST71	CESSP-CRPS, U. PARIS 1
p	FRANCE PIERRE	2019_ST33	CESSP, UNIVERSITE PARIS 1
o	FRANCOIS ABEL	2009_ST4	U. STRASBOURG
p	FRANCOIS ABEL	2013_ST41	LARGE, U. STRASBOURG
p	FRANCOIS ABEL	2015_ST1	LARGE, U. STRASBOURG
p	FRANCOIS ABEL	2015_ST9	LARGE, U. STRASBOURG
p	FRANCOIS ABEL	2015_STPOPACT	LARGE, U. STRASBOURG
p	FRANCOIS ABEL	2017_ST24	LEM, U. LILLE 1
p	FRANCOIS ABEL	2017_ST34	LEM, U. LILLE 1
p	FRANCOIS BASTIEN	2009_ST48	U. PARIS 1
o	FRANCOIS BASTIEN	2011_ST41	CESSP-CRPS, U. PARIS 1
p	FRANCOIS PIERRE	2009_ST14	CSO, SCIENCES PO PARIS / ESC ROUEN
d	FRANCOIS PIERRE	2011_ST26	CSO, SCIENCES PO PARIS
p	FRANCOIS PIERRE	2019_STSPOC	CENTRE DE SOCIOLOGIE DES ORGANISATIONS SCIENCES PO
p	FRANCOU LIONEL	2017_ST54	CRIDIS, U. CATHOLIQUE LOUVAIN (BELGIQUE)
p	FRANZ BARBARA	2013_ST41	RIDER U. (USA)
p	FRANZ BARBARA	2015_STRC20IPSA	RIDER U. (USA)
p	FRAU CAROLINE	2009_ST33	ALER / CESSP-CRPS, U. PARIS 1
p	FRAU CAROLINE	2011_ST16	CESSP-CRPS, U. PARIS 1
p	FRAU CAROLINE	2013_ST38	LASSP, IEP TOULOUSE
p	FRAU CAROLINE	2013_ST66	LASSP, IEP TOULOUSE
o	FRAU CAROLINE	2017_ST12	TRIANGLE, ENS-IEP LYON & U. LYON 2
p	FRAU CAROLINE	2019_ST43	TRIANGLE, UNIVERSITE LUMIERE LYON 2
p	FREEDMAN JANE	2017_ST28	CRESPPA, U. PARIS 8
o	FREGOSI FRANCK	2017_ST58	CHERPA, IEP AIX EN PROVENCE
p	FREIGEDO MARTIN	2019_ST02	INSTITUTO DE CIENCIA POLITICA, UNIVERSIDAD DE LA REPUBLICA, URUGUAY
o	FRENKIEL EMILIE	2015_STGREPO	U. PARIS 12
o	FRENKIEL EMILIE	2019_ST51	UPEC, LIPHA
o	FRETEL JULIEN	2009_ST7	CURAPP-ESS, U. PICARDIE / CERAPS, U. LILLE 2
o	FRETEL JULIEN	2011_ST31	CURAPP-ESS, U. PICARDIE
d	FRETEL JULIEN	2011_ST32	CURAPP-ESS, U. PICARDIE
p	FRETEL JULIEN	2013_ST24	CURAPP-ESS, U. PICARDIE
p	FRETEL JULIEN	2013_ST30	CURAPP-ESS, U. PICARDIE
o	FRETEL JULIEN	2015_ST10	CESSP-CRPS, U. PARIS 1
p	FRETEL JULIEN	2015_STGREPO	CESSP-CRPS, U. PARIS 1
p	FRETIGNY RAPHAEL	2013_ST16	TRIANGLE, ENS-IEP LYON & U. LYON 2
p	FRETIGNY RAPHAEL	2013_ST19	TRIANGLE, ENS-IEP LYON & U. LYON 2
p	FREYERMUTH AUDREY	2009_ST14	GSPE-PRISME-SAGE, IEP-U. STRASBOURG
p	FREYERMUTH AUDREY	2013_ST36	GSPE-PRISME-SAGE, IEP-U. STRASBOURG
p	FREYERMUTH AUDREY	2013_ST42	GSPE-PRISME-SAGE, IEP-U. STRASBOURG
o	FREYERMUTH AUDREY	2015_ST22	CHERPA, IEP AIX EN PROVENCE / GSPE-PRISME-SAGE, IEP-U. STRASBOURG
d	FREYSSENET MICHEL	2013_ST16	GERPISA, ENS CACHAN
p	FRIEDLI FIONA	2017_ST28	CRAPUL-IEPI-IEPHI, U. LAUSANNE (SUISSE)
p	FRINAULT THOMAS	2009_ST122	U. RENNES 2
p	FRINAULT THOMAS	2015_ST41	CRAPE-ARENES, EHESP-IEP-U. RENNES 1 & 2
